DataLine	qPCRFile	Assay	SpikeSet	Date Performed	LabNotebook	QuantstudioFileName	KitsAnalyzed	NKits	HighestSTD	qPCRefficiency	rsquare	slope	DroppedDatapoints	STDequation	Well	Well Position	PeakCheck	Sample Name	Target Name	CT_original	Ct Mean	Ct SD	CT_checked	VariableKit	VariableSampleType	VariableAssay	VariableSpikeSet	VariableCT_checked	LogCopy	BacktransfCopy2uLRXN	Intercept	Slope	STDequation2	Kit_SampleType	NucleicAcid	 InputSampleVolume(uL) 	ElutionVolume(uL)	MilkEquivalentDNAuL	CopiesperuLDNA	CopiespermLofMilk	LogCopiespermLofMilk
1244	2018-07-26BacillusFULL	Bacillus wiedmannii	Third	Thu Jul 26 00:00:00 EDT 2018	130	2018-07-26BacillusFULL	COREDNA.EZFood.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	7	10827228.11	0.727036071	0.99154	-4.21405	Yes-STD1-r2	CT = 38.116858 - 4.21405*Quantity Mean	16	B4	Correct	COREDNA-Third-2-InoculatedMilk-1	Bacillus_rpoB	18.31648064	18.35249329	0.050928228	18.31648064	COREDNA	InoculatedMilk	Bacillus wiedmannii	Third	18.31648064	4.698657435	49964.03	38.116858	-4.21405	CT = 38.116858 - 4.21405*Quantity Mean	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	24982.015	11241906.75	7.050839979
1243	2018-07-26BacillusFULL	Bacillus wiedmannii	Third	Thu Jul 26 00:00:00 EDT 2018	130	2018-07-26BacillusFULL	COREDNA.EZFood.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	7	10827228.11	0.727036071	0.99154	-4.21405	Yes-STD1-r2	CT = 38.116858 - 4.21405*Quantity Mean	15	B3	Correct	COREDNA-Third-2-InoculatedMilk-1	Bacillus_rpoB	18.38850403	18.35249329	0.050928228	18.38850403	COREDNA	InoculatedMilk	Bacillus wiedmannii	Third	18.38850403	4.681566183	48035.93	38.116858	-4.21405	CT = 38.116858 - 4.21405*Quantity Mean	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	24017.965	10808084.25	7.033748721
1268	2018-07-26BacillusFULL	Bacillus wiedmannii	Third	Thu Jul 26 00:00:00 EDT 2018	130	2018-07-26BacillusFULL	COREDNA.EZFood.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	7	10827228.11	0.727036071	0.99154	-4.21405	Yes-STD1-r2	CT = 38.116858 - 4.21405*Quantity Mean	40	D4	Correct	COREDNA-Third-4-InoculatedMilk-3	Bacillus_rpoB	18.40467834	18.50726509	0.145079568	18.40467834	COREDNA	InoculatedMilk	Bacillus wiedmannii	Third	18.40467834	4.677727995	47613.27	38.116858	-4.21405	CT = 38.116858 - 4.21405*Quantity Mean	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	23806.635	10712985.75	7.029910527
1256	2018-07-26BacillusFULL	Bacillus wiedmannii	Third	Thu Jul 26 00:00:00 EDT 2018	130	2018-07-26BacillusFULL	COREDNA.EZFood.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	7	10827228.11	0.727036071	0.99154	-4.21405	Yes-STD1-r2	CT = 38.116858 - 4.21405*Quantity Mean	28	C4	Correct	COREDNA-Third-3-InoculatedMilk-2	Bacillus_rpoB	18.41277122	18.48455429	0.101515234	18.41277122	COREDNA	InoculatedMilk	Bacillus wiedmannii	Third	18.41277122	4.675807543	47403.19	38.116858	-4.21405	CT = 38.116858 - 4.21405*Quantity Mean	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	23701.595	10665717.75	7.027990087
1255	2018-07-26BacillusFULL	Bacillus wiedmannii	Third	Thu Jul 26 00:00:00 EDT 2018	130	2018-07-26BacillusFULL	COREDNA.EZFood.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	7	10827228.11	0.727036071	0.99154	-4.21405	Yes-STD1-r2	CT = 38.116858 - 4.21405*Quantity Mean	27	C3	Correct	COREDNA-Third-3-InoculatedMilk-2	Bacillus_rpoB	18.55633545	18.48455429	0.101515234	18.55633545	COREDNA	InoculatedMilk	Bacillus wiedmannii	Third	18.55633545	4.64173955	43826.78	38.116858	-4.21405	CT = 38.116858 - 4.21405*Quantity Mean	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	21913.39	9861025.5	6.993922082
1267	2018-07-26BacillusFULL	Bacillus wiedmannii	Third	Thu Jul 26 00:00:00 EDT 2018	130	2018-07-26BacillusFULL	COREDNA.EZFood.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	7	10827228.11	0.727036071	0.99154	-4.21405	Yes-STD1-r2	CT = 38.116858 - 4.21405*Quantity Mean	39	D3	Correct	COREDNA-Third-4-InoculatedMilk-3	Bacillus_rpoB	18.60985184	18.50726509	0.145079568	18.60985184	COREDNA	InoculatedMilk	Bacillus wiedmannii	Third	18.60985184	4.629040036	42563.76	38.116858	-4.21405	CT = 38.116858 - 4.21405*Quantity Mean	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	21281.88	9576846	6.981222504
573	22018-05-29BacillusDNA	Bacillus wiedmannii	Second	Tue May 29 00:00:00 EDT 2018	106	22018-05-29BacillusDNA	COREDNA.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	6	12700000	0.866170458	0.996869	-3.6907	No	CT = 36.008208 - 3.6907*Quantity Mean	49	E1	Correct	COREDNA-7-InoculatedMilk-3	Bacillus_rpoB	20.56764793	20.88069725	0.442718595	20.56764793	COREDNA	InoculatedMilk	Bacillus wiedmannii	Second	20.56764793	4.183639978	15263	36.008208	-3.6907	CT = 36.008208 - 3.6907*Quantity Mean	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	7631.5	3434175	6.535822422
561	22018-05-29BacillusDNA	Bacillus wiedmannii	Second	Tue May 29 00:00:00 EDT 2018	106	22018-05-29BacillusDNA	COREDNA.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	6	12700000	0.866170458	0.996869	-3.6907	No	CT = 36.008208 - 3.6907*Quantity Mean	37	D1	Correct	COREDNA-6-InoculatedMilk-2	Bacillus_rpoB	20.67851639	20.96993637	0.412130088	20.67851639	COREDNA	InoculatedMilk	Bacillus wiedmannii	Second	20.67851639	4.153600025	14242.95	36.008208	-3.6907	CT = 36.008208 - 3.6907*Quantity Mean	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	7121.475	3204663.75	6.505782468
549	22018-05-29BacillusDNA	Bacillus wiedmannii	Second	Tue May 29 00:00:00 EDT 2018	106	22018-05-29BacillusDNA	COREDNA.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	6	12700000	0.866170458	0.996869	-3.6907	No	CT = 36.008208 - 3.6907*Quantity Mean	25	C1	Correct	COREDNA-5-InoculatedMilk-1	Bacillus_rpoB	20.6823597	20.99028969	0.435478777	20.6823597	COREDNA	InoculatedMilk	Bacillus wiedmannii	Second	20.6823597	4.152558676	14208.84	36.008208	-3.6907	CT = 36.008208 - 3.6907*Quantity Mean	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	7104.42	3196989	6.504741142
961	22018-06-01MycoF2	Mycobacterium smegmatis	Second	Fri Jun 01 00:00:00 EDT 2018	119	22018-06-01MycoF2	COREDNA.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	6	7830000	0.549733218	0.974622	-5.25605	No	CT = 46.551657 -5.25605*LogCopy	49	E1	Correct	COREDNA-7-InoculatedMilk-3	Mycobacterium_rpoB	21.11608887	21.66191292	0.7719118	21.11608887	COREDNA	InoculatedMilk	Mycobacterium smegmatis	Second	21.11608887	4.839293411	69070.63	46.551657	-5.25605	CT = 46.551657 -5.25605*LogCopy	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	34535.315	15540891.75	7.191475935
574	22018-05-29BacillusDNA	Bacillus wiedmannii	Second	Tue May 29 00:00:00 EDT 2018	106	22018-05-29BacillusDNA	COREDNA.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	6	12700000	0.866170458	0.996869	-3.6907	No	CT = 36.008208 - 3.6907*Quantity Mean	50	E2	Correct	COREDNA-7-InoculatedMilk-3	Bacillus_rpoB	21.19374657	20.88069725	0.442718595	21.19374657	COREDNA	InoculatedMilk	Bacillus wiedmannii	Second	21.19374657	4.013997733	10327.56	36.008208	-3.6907	CT = 36.008208 - 3.6907*Quantity Mean	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	5163.78	2323701	6.366180245
562	22018-05-29BacillusDNA	Bacillus wiedmannii	Second	Tue May 29 00:00:00 EDT 2018	106	22018-05-29BacillusDNA	COREDNA.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	6	12700000	0.866170458	0.996869	-3.6907	No	CT = 36.008208 - 3.6907*Quantity Mean	38	D2	Correct	COREDNA-6-InoculatedMilk-2	Bacillus_rpoB	21.26135635	20.96993637	0.412130088	21.26135635	COREDNA	InoculatedMilk	Bacillus wiedmannii	Second	21.26135635	3.995678773	9900.99	36.008208	-3.6907	CT = 36.008208 - 3.6907*Quantity Mean	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	4950.495	2227722.75	6.34786114
