Sample Name	NanodropConc	Nanodrop260280	NanoDropDataLocation	QuantiT	QuantiTDataLocation	VariableKit	VariableSampleType	VariableSpikeSet	 InputSampleVolume(uL) 	ElutionVolume(uL)	MilkEquivalentDNAuL	NanodropDNAPermLofMilk	NanoConcNorm100uL	QuantiTDNAPermLofMilk	QuantiTconcNorm100uL
COREDNA-First-1-UninoculatedMilk	6.8	1.89	B1pg125	0.975	B1pg124	COREDNA	UninoculatedMilk	First	200	90	2.222222222	3060	30.6	438.75	4.3875
COREDNA-First-2-InoculatedMilk-1	15.6	1.73	B1pg125	1.057	B1pg124	COREDNA	InoculatedMilk	First	200	90	2.222222222	7020.000001	70.20000001	475.65	4.7565
COREDNA-First-3-InoculatedMilk-2	15	1.93	B1pg125	1.045	B1pg124	COREDNA	InoculatedMilk	First	200	90	2.222222222	6750.000001	67.50000001	470.25	4.7025
COREDNA-First-4-InoculatedMilk-3	14.4	1.79	B1pg125	1.003	B1pg124	COREDNA	InoculatedMilk	First	200	90	2.222222222	6480.000001	64.80000001	451.35	4.5135
COREDNA-First-5-MockCommunity	2.2	2.74	B1pg125	0.028	B1pg124	COREDNA	MockCommunity	First	200	90	2.222222222	990.0000001	9.900000001	12.6	0.126
COREDNA-First-6-NoTemplateControl	2.5	2.78	B1pg125	0.026	B1pg124	COREDNA	NoTemplateControl	First	200	90	2.222222222	1125	11.25	11.7	0.117
EZFood-1-UninoculatedMilk	10.4	1.56	B1pg81	3.06	B1pg79	EZFood	UninoculatedMilk	First	500	100	5	2080	20.8	612	6.12
EZFood-2-NP40-InoculatedMilk-1	3.5	1.98	B1pg81	1.36	B1pg79	EZFood	NP40InoculatedMilk	First	500	100	5	700	7	272	2.72
EZFood-5-InoculatedMilk-1	10.5	1.56	B1pg81	1.62	B1pg79	EZFood	InoculatedMilk	First	500	100	5	2100	21	324	3.24
EZFood-6-InoculatedMilk-2	6.7	1.43	B1pg81	1.69	B1pg79	EZFood	InoculatedMilk	First	500	100	5	1340	13.4	338	3.38
EZFood-7-InoculatedMilk-3	10.7	1.61	B1pg81	1.64	B1pg79	EZFood	InoculatedMilk	First	500	100	5	2140	21.4	328	3.28
EZFood-8-MockCommunity	3.3	1.99	B1pg81	0.38	B1pg79	EZFood	MockCommunity	First	500	100	5	660	6.6	76	0.76
EZFood-9-NoTemplateControl	4.6	1.61	B1pg81	0.38	B1pg79	EZFood	NoTemplateControl	First	500	100	5	920	9.2	76	0.76
Mastitis-1-UninoculatedMilk	10.3	5.09	B1pg81	1.96	B1pg79	Mastitis	UninoculatedMilk	First	400	100	4	2575	25.75	490	4.9
Mastitis-2-NP40-InoculatedMilk-1	10.1	7.79	B1pg81	1.45	B1pg79	Mastitis	NP40InoculatedMilk	First	500	100	5	2020	20.2	290	2.9
Mastitis-5-InoculatedMilk-1	12.4	3.61	B1pg81	2.53	B1pg79	Mastitis	InoculatedMilk	First	400	100	4	3100	31	632.5	6.325
Mastitis-6-InoculatedMilk-2	11	4.6	B1pg81	2.62	B1pg79	Mastitis	InoculatedMilk	First	400	100	4	2750	27.5	655	6.55
Mastitis-7-InoculatedMilk-3	11.8	3.72	B1pg81	2.98	B1pg79	Mastitis	InoculatedMilk	First	400	100	4	2950	29.5	745	7.45
Mastitis-8-MockCommunity	8.1	10.82	B1pg81	0.38	B1pg79	Mastitis	MockCommunity	First	400	100	4	2025	20.25	95	0.95
Mastitis-9-NoTemplateControl	7.2	25.53	B1pg81	0.38	B1pg79	Mastitis	NoTemplateControl	First	400	100	4	1800	18	95	0.95
Pfood-1-UninoculatedMilk	1.4	2.82	B1pg81	0.49	B1pg79	Pfood	UninoculatedMilk	First	1800	100	18	77.77777778	0.777777778	27.22222222	0.272222222
Pfood-2-NP40-InoculatedMilk-1	0.8	2.2	B1pg81	0.66	B1pg79	Pfood	NP40InoculatedMilk	First	500	100	5	160	1.6	132	1.32
Pfood-5-InoculatedMilk-1	6	1.91	B1pg81	0.46	B1pg79	Pfood	InoculatedMilk	First	1800	100	18	333.3333333	3.333333333	25.55555556	0.255555556
Pfood-6-InoculatedMilk-2	5.5	2.17	B1pg81	0.51	B1pg79	Pfood	InoculatedMilk	First	1800	100	18	305.5555556	3.055555556	28.33333333	0.283333333
Pfood-7-InoculatedMilk-3	5.2	2.22	B1pg81	0.51	B1pg79	Pfood	InoculatedMilk	First	1800	100	18	288.8888889	2.888888889	28.33333333	0.283333333
Pfood-8-MockCommunity	0.5	1.13	B1pg81	0.38	B1pg79	Pfood	MockCommunity	First	1800	100	18	27.77777778	0.277777778	21.11111111	0.211111111
Pfood-9-NoTemplateControl	-0.9	1.45	B1pg81	0.38	B1pg79	Pfood	NoTemplateControl	First	1800	100	18	-50	-0.5	21.11111111	0.211111111
PSoilP-1-UninoculatedMilk	-1.6	1	B1pg81	2.43	B1pg79	PSoilP	UninoculatedMilk	First	500	100	5	-320	-3.2	486	4.86
PSoilP-2-NP40-InoculatedMilk-1	-1.1	0.93	B1pg81	1.27	B1pg79	PSoilP	NP40InoculatedMilk	First	500	100	5	-220	-2.2	254	2.54
PSoilP-5-InoculatedMilk-1	-1.7	1.1	B1pg81	5.49	B1pg79	PSoilP	InoculatedMilk	First	500	100	5	-340	-3.4	1098	10.98
PSoilP-6-InoculatedMilk-2	-2.7	1.78	B1pg81	5.42	B1pg79	PSoilP	InoculatedMilk	First	500	100	5	-540	-5.4	1084	10.84
PSoilP-7-InoculatedMilk-3	-2.7	1.74	B1pg81	5.22	B1pg79	PSoilP	InoculatedMilk	First	500	100	5	-540	-5.4	1044	10.44
PSoilP-8-MockCommunity	-0.6	1.34	B1pg81	0.41	B1pg79	PSoilP	MockCommunity	First	500	100	5	-120	-1.2	82	0.82
PSoilP-9-NoTemplateControl	-1.9	1.62	B1pg81	0.38	B1pg79	PSoilP	NoTemplateControl	First	500	100	5	-380	-3.8	76	0.76
PviralDNA-First-1-UninoculatedMilk	2.1	1.45	B1pg125	0.523	B1pg124	PviralDNA	UninoculatedMilk	First	200	100	2	1050	10.5	261.5	2.615
PviralDNA-First-2-InoculatedMilk-1	1.6	1.2	B1pg125	0.543	B1pg124	PviralDNA	InoculatedMilk	First	200	100	2	800	8	271.5	2.715
PviralDNA-First-3-InoculatedMilk-2	1.8	1.39	B1pg125	0.506	B1pg124	PviralDNA	InoculatedMilk	First	200	100	2	900	9	253	2.53
PviralDNA-First-4-InoculatedMilk-3	1.7	0.98	B1pg125	0.422	B1pg124	PviralDNA	InoculatedMilk	First	200	100	2	850	8.5	211	2.11
PviralDNA-First-5-MockCommunity	1.1	0.82	B1pg125	0.025	B1pg124	PviralDNA	MockCommunity	First	200	100	2	550	5.5	12.5	0.125
PviralDNA-First-6-NoTemplateControl	0.8	1.48	B1pg125	0.021	B1pg124	PviralDNA	NoTemplateControl	First	200	100	2	400	4	10.5	0.105
ZymoDNA-1-UninoculatedMilk	11.9	1.4	B1pg81	0.79	B1pg79	ZymoDNA	UninoculatedMilk	First	250	100	2.5	4760	47.6	316	3.16
ZymoDNA-2-NP40-InoculatedMilk-1	7.2	1.22	B1pg81	0.8	B1pg79	ZymoDNA	NP40InoculatedMilk	First	500	100	5	1440	14.4	160	1.6
ZymoDNA-5-InoculatedMilk-1	12	1.31	B1pg81	0.73	B1pg79	ZymoDNA	InoculatedMilk	First	250	100	2.5	4800	48	292	2.92
ZymoDNA-6-InoculatedMilk-2	5.5	1.26	B1pg81	0.72	B1pg79	ZymoDNA	InoculatedMilk	First	250	100	2.5	2200	22	288	2.88
ZymoDNA-7-InoculatedMilk-3	14.3	1.23	B1pg81	0.72	B1pg79	ZymoDNA	InoculatedMilk	First	250	100	2.5	5720	57.2	288	2.88
ZymoDNA-8-MockCommunity	9.7	1.35	B1pg81	0.38	B1pg79	ZymoDNA	MockCommunity	First	250	100	2.5	3880	38.8	152	1.52
ZymoDNA-9-NoTemplateControl	7.2	1.25	B1pg81	0.38	B1pg79	ZymoDNA	NoTemplateControl	First	250	100	2.5	2880	28.8	152	1.52
COREDNA-1-UninoculatedMilk	6.5	2.48	B1pg110	1.705	B1pg112	COREDNA	UninoculatedMilk	Second	200	90	2.222222222	2925	29.25	767.2500001	7.672500001
COREDNA-2-NP40-InoculatedMilk-1	2.6	2.5	B1pg110	0.396	B1pg112	COREDNA	NP40InoculatedMilk	Second	500	90	5.555555556	468	4.68	71.27999999	0.7128
