DataLine	qPCRFile	Assay	DatePerformed	LabNotebook	HighestSTD	qPCRefficiency	rsquare	slope	STDequation	Well	WellPosition	PeakCheck	SampleName	TargetName	CT	CT_checked	SampID	BioRep	MilkType	FrozenGlycerol	Buffer	Enzyme	PMA	LightSource	DNAextrNotes	Formula	LogCopyNRXN	BackTransfRXN	InputSampleVolume.uL.	ElutionVolume.uL.	MilkEquivalentDNAuL	CopiesperuLDNA	CopiespermLofMilk	LogCopiespermLofMilk
74	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	22	B10	NA	Sample 74	BovineUXT	Undetermined		74	B2	10xNegCTRL	No	Yes	10X	No	None		CTjmp = 42.596315 - 3.9619726*LogCopy			200	90	2.222222222			
149	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	22	B10	NA	Sample 74	Total16S	32.802	32.802	74	B2	10xNegCTRL	No	Yes	10X	No	None		CTjmp = 35.680964 - 3.8710714*LogCopies	0.743595665	5.541095882	200	90	2.222222222	2.770547941	1246.746574	3.095778183
224	2019-03-01Listeria-rpoB	Listeria-rpoB	3/1/19	2p19	6.210505044	77.82294842	0.99689	-4.0001951	CTjmp = 38.711445 - 4.0001951*LogCopies	22	B10	IncorrectPeak	Sample 74	Listeria-rpoB	Undetermined		74	B2	10xNegCTRL	No	Yes	10X	No	None		CTjmp = 38.711445 - 4.0001951*LogCopies			200	90	2.222222222			
299	2019-03-06Salmonella-rpoB	Salmonella-rpoB	3/6/19	2p24	6.928919542	64.96378421	0.984575	-4.600057	CTjmp = 43.425528 - 4.6000057*LogCopies	22	B10	IncorrectPeak	Sample 74	Salmonella-rpoB	Undetermined		74	B2	10xNegCTRL	No	Yes	10X	No	None		CTjmp = 43.425528 - 4.6000057*LogCopies			200	90	2.222222222			
75	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	34	C10	NA	Sample 75	BovineUXT	Undetermined		75	B2	ExtractionNEG	None	None	None	None	None		CTjmp = 42.596315 - 3.9619726*LogCopy			200	90	2.222222222			
150	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	34	C10	NA	Sample 75	Total16S	33.622	33.622	75	B2	ExtractionNEG	None	None	None	None	None		CTjmp = 35.680964 - 3.8710714*LogCopies	0.531769068	3.402272294	200	90	2.222222222	1.701136147	765.5112661	2.883951587
225	2019-03-01Listeria-rpoB	Listeria-rpoB	3/1/19	2p19	6.210505044	77.82294842	0.99689	-4.0001951	CTjmp = 38.711445 - 4.0001951*LogCopies	34	C10	IncorrectPeak	Sample 75	Listeria-rpoB	Undetermined		75	B2	ExtractionNEG	None	None	None	None	None		CTjmp = 38.711445 - 4.0001951*LogCopies			200	90	2.222222222			
300	2019-03-06Salmonella-rpoB	Salmonella-rpoB	43554	2p24	6.928919542	64.96378421	0.984575	-4.600057	CTjmp = 43.425528 - 4.6000057*LogCopies	34	C10	IncorrectPeak	Sample 75	Salmonella-rpoB	Undetermined		75	B2	ExtractionNEG	None	None	None	None	None		CTjmp = 43.425528 - 4.6000057*LogCopies			200	90	2.222222222			
73	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	10	A10	NA	Sample 73	BovineUXT	Undetermined		73	B2	NegCTRL	No	Yes	No	No	None		CTjmp = 42.596315 - 3.9619726*LogCopy			200	90	2.222222222			
148	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	10	A10	NA	Sample 73	Total16S	33.814	33.814	73	B2	NegCTRL	No	Yes	No	No	None		CTjmp = 35.680964 - 3.8710714*LogCopies	0.482241001	3.035575236	200	90	2.222222222	1.517787618	683.0044282	2.834423519
223	2019-03-01Listeria-rpoB	Listeria-rpoB	3/1/19	2p19	6.210505044	77.82294842	0.99689	-4.0001951	CTjmp = 38.711445 - 4.0001951*LogCopies	10	A10	IncorrectPeak	Sample 73	Listeria-rpoB	Undetermined		73	B2	NegCTRL	No	Yes	No	No	None		CTjmp = 38.711445 - 4.0001951*LogCopies			200	90	2.222222222			
