Parameter,Count,Percent,Sample,Treatment,Replicate
Low quality (QC filtered),"4,696,199",3.69000,NTC-1B1,NTC,1B1
Low quality (QC filtered),"744,073",2.92000,NTC-1B2,NTC,1B2
Low quality (QC filtered),"1,501,633",2.93000,NTC-1B3,NTC,1B3
Low quality (QC filtered),"2,161,927",5.05000,20uM-1B1,20uM,1B1
Low quality (QC filtered),"1,769,641",4.50000,20uM-1B2,20uM,1B2
Low quality (QC filtered),"1,369,933",3.38000,20uM-1B3,20uM,1B3
Low quality (QC filtered),"975,919",2.78000,0uM-1B1,0uM,1B1
Low quality (QC filtered),"1,228,830",2.97000,0uM-1B2,0uM,1B2
Low quality (QC filtered),"2,152,412",3.52000,0uM-1B3,0uM,1B3
Matrix,"118,632,383",93.26000,NTC-1B1,NTC,1B1
Matrix,"24,029,178",94.27000,NTC-1B2,NTC,1B2
Matrix,"48,232,875",94.10000,NTC-1B3,NTC,1B3
Matrix,"39,197,100",91.63000,20uM-1B1,20uM,1B1
Matrix,"36,306,223",92.40000,20uM-1B2,20uM,1B2
Matrix,"37,823,462",93.36000,20uM-1B3,20uM,1B3
Matrix,"33,006,329",94.15000,0uM-1B1,0uM,1B1
Matrix,"38,807,180",93.91000,0uM-1B2,0uM,1B2
Matrix,"57,138,679",93.43000,0uM-1B3,0uM,1B3
Microbial,"10,805",0.00800,NTC-1B1,NTC,1B1
Microbial,"2,894",0.01100,NTC-1B2,NTC,1B2
Microbial,"6,363",0.01200,NTC-1B3,NTC,1B3
Microbial,"37,930",0.08900,20uM-1B1,20uM,1B1
Microbial,"38,466",0.09800,20uM-1B2,20uM,1B2
Microbial,"57,161",0.14100,20uM-1B3,20uM,1B3
Microbial,"2,653",0.00800,0uM-1B1,0uM,1B1
Microbial,"3,700",0.00900,0uM-1B2,0uM,1B2
Microbial,"10,779",0.01800,0uM-1B3,0uM,1B3
PhiX (QC filtered),29,0.00000,NTC-1B1,NTC,1B1
PhiX (QC filtered),1,0.00000,NTC-1B2,NTC,1B2
PhiX (QC filtered),7,0.00000,NTC-1B3,NTC,1B3
PhiX (QC filtered),10,0.00000,20uM-1B1,20uM,1B1
PhiX (QC filtered),6,0.00000,20uM-1B2,20uM,1B2
PhiX (QC filtered),3,0.00000,20uM-1B3,20uM,1B3
PhiX (QC filtered),4,0.00000,0uM-1B1,0uM,1B1
PhiX (QC filtered),10,0.00000,0uM-1B2,0uM,1B2
PhiX (QC filtered),5,0.00000,0uM-1B3,0uM,1B3
Total Input Reads,"127,203,413",100.00000,NTC-1B1,NTC,1B1
Total Input Reads,"25,488,728",100.00000,NTC-1B2,NTC,1B2
Total Input Reads,"51,258,152",100.00000,NTC-1B3,NTC,1B3
Total Input Reads,"42,775,777",100.00000,20uM-1B1,20uM,1B1
Total Input Reads,"39,294,579",100.00000,20uM-1B2,20uM,1B2
Total Input Reads,"40,513,401",100.00000,20uM-1B3,20uM,1B3
Total Input Reads,"35,059,172",100.00000,0uM-1B1,0uM,1B1
Total Input Reads,"41,323,762",100.00000,0uM-1B2,0uM,1B2
Total Input Reads,"61,156,382",100.00000,0uM-1B3,0uM,1B3
Unclassified,"3,863,997",3.04000,NTC-1B1,NTC,1B1
Unclassified,"712,582",2.80000,NTC-1B2,NTC,1B2
Unclassified,"1,517,274",2.96000,NTC-1B3,NTC,1B3
Unclassified,"1,378,810",3.22000,20uM-1B1,20uM,1B1
Unclassified,"1,180,243",3.00000,20uM-1B2,20uM,1B2
Unclassified,"1,262,842",3.12000,20uM-1B3,20uM,1B3
Unclassified,"1,074,267",3.06000,0uM-1B1,0uM,1B1
Unclassified,"1,284,042",3.11000,0uM-1B2,0uM,1B2
Unclassified,"1,854,507",3.03000,0uM-1B3,0uM,1B3
