Dataline	qPCRFile	Well	Well Position	Sample Name	Target Name	CT	Ct Mean	Ct SD	CopyN	LogCopyN	CT_jmp	HighestSTD	qPCRefficiency	rsquare	slope	DroppedDatapoints	StdEquation	SampleNumber	Category	Cat.Target	TechnicalRep	BioRep	RxnLogCopy	 InputSampleVolume(uL) 	ElutionVolume(uL)	MilkEquivalentDNAuL	CopiesperuLDNA	CopiespermLofMilk	LogCopiespermLofMilk
1	2019-01-15BovineUXT-HostDepletion	1	A1	STD1	BovineUXT	25.231	25.171	0.084	46100	4.663700925	25.231	4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	STD1	Standard	Standard.Bovine	Standard	Standard	4.625807335				21124.05743		
2	2019-01-15BovineUXT-HostDepletion	2	A2	STD1	BovineUXT	25.111	25.171	0.084	46100	4.663700925	25.111	4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	STD1	Standard	Standard.Bovine	Standard	Standard	4.659249698				22814.95951		
3	2019-01-15BovineUXT-HostDepletion	13	B1	STD2	BovineUXT	28.482	28.57	0.125	4610	3.663700925	28.482	4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	STD2	Standard	Standard.Bovine	Standard	Standard	3.715365435				2596.183825		
4	2019-01-15BovineUXT-HostDepletion	14	B2	STD2	BovineUXT	28.659	28.57	0.125	4610	3.663700925	28.659	4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	STD2	Standard	Standard.Bovine	Standard	Standard	3.665765665				2315.98461		
5	2019-01-15BovineUXT-HostDepletion	25	C1	STD3	BovineUXT	32.225	32.203	0.032	461	2.663700925	32.225	4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	STD3	Standard	Standard.Bovine	Standard	Standard	2.667166276				232.346578		
6	2019-01-15BovineUXT-HostDepletion	26	C2	STD3	BovineUXT	32.18	32.203	0.032	461	2.663700925	32.18	4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	STD3	Standard	Standard.Bovine	Standard	Standard	2.679655285				239.1251686		
7	2019-01-15BovineUXT-HostDepletion	37	D1	STD4	BovineUXT	35.975	35.864	0.157	46	1.663700925	35.975	4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	STD4	Standard	Standard.Bovine	Standard	Standard	1.617021284				20.70099825		
8	2019-01-15BovineUXT-HostDepletion	38	D2	STD4	BovineUXT	35.752	35.864	0.157	46	1.663700925	35.752	4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	STD4	Standard	Standard.Bovine	Standard	Standard	1.679352024				23.89582498		
9	2019-01-15BovineUXT-HostDepletion	49	E1	STD5	BovineUXT	39.436	39.436		5	0.663700925		4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	STD5	Standard	Standard.Bovine	Standard	Standard	0.647919715				2.222745393		
10	2019-01-15BovineUXT-HostDepletion	50	E2	STD5	BovineUXT	Undetermined	39.436		5	0.663700925		4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	STD5	Standard	Standard.Bovine	Standard	Standard							
11	2019-01-15BovineUXT-HostDepletion	61	F1	NTC	BovineUXT	Undetermined						4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	NTC	Standard	Standard.Bovine	Standard	Standard							
12	2019-01-15BovineUXT-HostDepletion	62	F2	NTC	BovineUXT	Undetermined						4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	NTC	Standard	Standard.Bovine	Standard	Standard							
13	2019-01-15BovineUXT-HostDepletion	83	G11	NTC	BovineUXT	Undetermined						4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	NTC	Standard	Standard.Bovine	Standard	Standard							
14	2019-01-15BovineUXT-HostDepletion	84	G12	NTC	BovineUXT	Undetermined						4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	NTC	Standard	Standard.Bovine	Standard	Standard							
15	2019-01-15BovineUXT-HostDepletion	51	E3	14-20uM-2.B1	BovineUXT	34.369	34.451	0.116				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	14	20uM	PMA.Bovine	2	B1	2.06682109	400	100	4	58.31645212	14579.11303	4.163731103
16	2019-01-15BovineUXT-HostDepletion	52	E4	14-20uM-2.B1	BovineUXT	34.533	34.451	0.116				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	14	20uM	PMA.Bovine	2	B1	2.020769539	400	100	4	52.44928157	13112.32039	4.117679552
17	2019-01-15BovineUXT-HostDepletion	63	F3	19-20uM-3.B1	BovineUXT	34.236	34.578	0.484				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	19	20uM	PMA.Bovine	3	B1	2.104060577	400	100	4	63.53756712	15884.39178	4.20097059
18	2019-01-15BovineUXT-HostDepletion	64	F4	19-20uM-3.B1	BovineUXT	34.92	34.578	0.484				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	19	20uM	PMA.Bovine	3	B1	1.912482324	400	100	4	40.87448824	10218.62206	4.009392337
19	2019-01-15BovineUXT-HostDepletion	75	G3	23-NTC-2.B2	BovineUXT	29.057	29.082	0.035				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	23	NTC	NTC.Bovine	2	B2	3.554292369	400	100	4	1791.68795	447921.9875	5.651202382
20	2019-01-15BovineUXT-HostDepletion	76	G4	23-NTC-2.B2	BovineUXT	29.107	29.082	0.035				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	23	NTC	NTC.Bovine	2	B2	3.540338243	400	100	4	1735.035031	433758.7577	5.637248256
21	2019-01-15BovineUXT-HostDepletion	87	H3	24-NTC-3.B2	BovineUXT	28.724	28.797	0.103				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	24	NTC	NTC.Bovine	3	B2	3.64756094	400	100	4	2220.90992	555227.4799	5.744470953
22	2019-01-15BovineUXT-HostDepletion	88	H4	24-NTC-3.B2	BovineUXT	28.87	28.797	0.103				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	24	NTC	NTC.Bovine	3	B2	3.606812224	400	100	4	2022.005013	505501.2532	5.703722237
23	2019-01-15BovineUXT-HostDepletion	5	A5	26-NEB-2.B2	BovineUXT	32.725	32.715	0.015				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	26	NEB	NEB.Bovine	2	B2	2.527018254	200	50	4	168.262857	42065.71426	4.623928267
24	2019-01-15BovineUXT-HostDepletion	6	A6	26-NEB-2.B2	BovineUXT	32.705	32.715	0.015				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	26	NEB	NEB.Bovine	2	B2	2.532769758	200	50	4	170.5060376	42626.5094	4.629679771
25	2019-01-15BovineUXT-HostDepletion	17	B5	27-NEB-3.B2	BovineUXT	32.932	32.966	0.049				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	27	NEB	NEB.Bovine	3	B2	2.469165654	200	50	4	147.2772471	36819.31179	4.566075667
26	2019-01-15BovineUXT-HostDepletion	18	B6	27-NEB-3.B2	BovineUXT	33.001	32.966	0.049				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	27	NEB	NEB.Bovine	3	B2	2.449899614	200	50	4	140.8865771	35221.64428	4.546809627
27	2019-01-15BovineUXT-HostDepletion	3	A3	2-NTC-2.B1	BovineUXT	29.879	29.836	0.061				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	2	NTC	NTC.Bovine	2	B1	3.324056515	400	100	4	1054.451283	263612.8207	5.420966528
28	2019-01-15BovineUXT-HostDepletion	4	A4	2-NTC-2.B1	BovineUXT	29.793	29.836	0.061				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	2	NTC	NTC.Bovine	2	B1	3.348333755	400	100	4	1115.074179	278768.5448	5.445243768
29	2019-01-15BovineUXT-HostDepletion	29	C5	35-20uM-2.B2	BovineUXT	34.195	34.214	0.027				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	35	20uM	PMA.Bovine	2	B2	2.115412959	400	100	4	65.2203257	16305.08143	4.212322972
30	2019-01-15BovineUXT-HostDepletion	30	C6	35-20uM-2.B2	BovineUXT	34.233	34.214	0.027				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	35	20uM	PMA.Bovine	2	B2	2.10489275	400	100	4	63.65943133	15914.85783	4.201802763
31	2019-01-15BovineUXT-HostDepletion	15	B3	3-NTC-3.B1	BovineUXT	30.089	30.145	0.079				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	3	NTC	NTC.Bovine	3	B1	3.265321533	400	100	4	921.0676669	230266.9167	5.362231546
32	2019-01-15BovineUXT-HostDepletion	16	B4	3-NTC-3.B1	BovineUXT	30.2	30.145	0.079				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	3	NTC	NTC.Bovine	3	B1	3.234162572	400	100	4	857.2995123	214324.8781	5.331072585
33	2019-01-15BovineUXT-HostDepletion	41	D5	40-20uM-3.B2	BovineUXT	33.454	33.665	0.298				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	40	20uM	PMA.Bovine	3	B2	2.322883692	400	100	4	105.1607553	26290.18881	4.419793705
34	2019-01-15BovineUXT-HostDepletion	42	D6	40-20uM-3.B2	BovineUXT	33.876	33.665	0.298				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	40	20uM	PMA.Bovine	3	B2	2.204840073	400	100	4	80.13275553	20033.18888	4.301750086
