"ConcentrationCAT"	"Target.Name"	"mean_LogCopiesmLmilk"	"st_dev"	"n_missing"	"n_total"
"1"	"0uM"	"BovineUXT"	4.92430444622222	0.110594338606854	0	18
"2"	"0uM"	"Total16S"	4.70838988272222	0.221322348928055	0	18
"3"	"10uM"	"BovineUXT"	3.88594246222222	0.336622168998609	0	18
"4"	"10uM"	"Total16S"	4.20621293855556	0.341563771651021	0	18
"5"	"20uM"	"BovineUXT"	3.83577458094444	0.29326768764543	0	18
"6"	"20uM"	"Total16S"	4.22010217761111	0.14563791403839	0	18
"7"	"40uM"	"BovineUXT"	3.73614123905556	0.24588853824632	0	18
"8"	"40uM"	"Total16S"	4.06000032988889	0.170114569107009	0	18
"9"	"50uM"	"BovineUXT"	3.46700525472222	0.317696298827399	0	18
"10"	"50uM"	"Total16S"	3.96083891705556	0.305383334797994	0	18
"11"	"NTC"	"BovineUXT"	5.22982699661111	0.0934923770636495	0	18
"12"	"NTC"	"Total16S"	5.19236858933333	0.33508872962493	0	18
