"DataLine"	"qPCRFile"	"Assay"	"DatePerformed"	"LabNotebook"	"HighestSTD"	"qPCRefficiency"	"rsquare"	"slope"	"STDequation"	"Well"	"WellPosition"	"PeakCheck"	"SampleName"	"TargetName"	"CT"	"CT_checked"	"SampID"	"BioRep"	"MilkType"	"FrozenGlycerol"	"Buffer"	"Enzyme"	"PMA"	"LightSource"	"DNAextrNotes"	"Formula"	"LogCopyNRXN"	"BackTransfRXN"	"InputSampleVolume.uL."	"ElutionVolume.uL."	"MilkEquivalentDNAuL"	"CopiesperuLDNA"	"CopiespermLofMilk"	"LogCopiespermLofMilk"
"1"	13	"2019-03-01BovineUXT"	"Bovine"	"3/1/19"	"2p16"	4.450249108	78.81317906	0.99356	-3.9619726	"CTjmp = 42.596315 - 3.9619726*LogCopy"	50	"E2"	NA	"Sample 13"	"BovineUXT"	"33.256"	33.256	13	"B1"	"Spiked"	"No"	"Yes"	"No"	"PMA"	"BLUV"	NA	"CTjmp = 42.596315 - 3.9619726*LogCopy"	2.357591067	227.8195906	200	90	2.222222222	113.9097953	"51259.40789"	4.709773585
"2"	14	"2019-03-01BovineUXT"	"Bovine"	"3/1/19"	"2p16"	4.450249108	78.81317906	0.99356	-3.9619726	"CTjmp = 42.596315 - 3.9619726*LogCopy"	62	"F2"	NA	"Sample 14"	"BovineUXT"	"33.42"	33.42	14	"B1"	"Spiked"	"No"	"Yes"	"No"	"PMA"	"BLUV"	NA	"CTjmp = 42.596315 - 3.9619726*LogCopy"	2.316027718	207.0273474	200	90	2.222222222	103.5136737	"46581.15317"	4.668210236
"3"	17	"2019-03-01BovineUXT"	"Bovine"	"3/1/19"	"2p16"	4.450249108	78.81317906	0.99356	-3.9619726	"CTjmp = 42.596315 - 3.9619726*LogCopy"	3	"A3"	NA	"Sample 17"	"BovineUXT"	"Undetermined"	NA	17	"B1"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"BLUV"	NA	"CTjmp = 42.596315 - 3.9619726*LogCopy"	NA	NA	200	90	2.222222222	NA	""	NA
"4"	18	"2019-03-01BovineUXT"	"Bovine"	"3/1/19"	"2p16"	4.450249108	78.81317906	0.99356	-3.9619726	"CTjmp = 42.596315 - 3.9619726*LogCopy"	15	"B3"	NA	"Sample 18"	"BovineUXT"	"39.077"	39.077	18	"B1"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"BLUV"	NA	"CTjmp = 42.596315 - 3.9619726*LogCopy"	0.888372688	7.733439428	200	90	2.222222222	3.866719714	"1740.023871"	3.240555206
"5"	19	"2019-03-01BovineUXT"	"Bovine"	"3/1/19"	"2p16"	4.450249108	78.81317906	0.99356	-3.9619726	"CTjmp = 42.596315 - 3.9619726*LogCopy"	27	"C3"	NA	"Sample 19"	"BovineUXT"	"Undetermined"	NA	19	"B1"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"Halogen"	NA	"CTjmp = 42.596315 - 3.9619726*LogCopy"	NA	NA	200	90	2.222222222	NA	""	NA
"6"	20	"2019-03-01BovineUXT"	"Bovine"	"3/1/19"	"2p16"	4.450249108	78.81317906	0.99356	-3.9619726	"CTjmp = 42.596315 - 3.9619726*LogCopy"	39	"D3"	NA	"Sample 20"	"BovineUXT"	"Undetermined"	NA	20	"B1"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"Halogen"	NA	"CTjmp = 42.596315 - 3.9619726*LogCopy"	NA	NA	200	90	2.222222222	NA	""	NA
"7"	21	"2019-03-01BovineUXT"	"Bovine"	"3/1/19"	"2p16"	4.450249108	78.81317906	0.99356	-3.9619726	"CTjmp = 42.596315 - 3.9619726*LogCopy"	51	"E3"	NA	"Sample 21"	"BovineUXT"	"Undetermined"	NA	21	"B1"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"BLUV"	NA	"CTjmp = 42.596315 - 3.9619726*LogCopy"	NA	NA	200	90	2.222222222	NA	""	NA
"8"	22	"2019-03-01BovineUXT"	"Bovine"	"3/1/19"	"2p16"	4.450249108	78.81317906	0.99356	-3.9619726	"CTjmp = 42.596315 - 3.9619726*LogCopy"	63	"F3"	NA	"Sample 22"	"BovineUXT"	"Undetermined"	NA	22	"B1"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"BLUV"	NA	"CTjmp = 42.596315 - 3.9619726*LogCopy"	NA	NA	200	90	2.222222222	NA	""	NA
"9"	23	"2019-03-01BovineUXT"	"Bovine"	"3/1/19"	"2p16"	4.450249108	78.81317906	0.99356	-3.9619726	"CTjmp = 42.596315 - 3.9619726*LogCopy"	75	"G3"	NA	"Sample 23"	"BovineUXT"	"Undetermined"	NA	23	"B1"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"Halogen"	NA	"CTjmp = 42.596315 - 3.9619726*LogCopy"	NA	NA	200	90	2.222222222	NA	""	NA
"10"	24	"2019-03-01BovineUXT"	"Bovine"	"3/1/19"	"2p16"	4.450249108	78.81317906	0.99356	-3.9619726	"CTjmp = 42.596315 - 3.9619726*LogCopy"	87	"H3"	NA	"Sample 24"	"BovineUXT"	"Undetermined"	NA	24	"B1"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"Halogen"	NA	"CTjmp = 42.596315 - 3.9619726*LogCopy"	NA	NA	200	90	2.222222222	NA	""	NA
