Assay	Well	Well.Position	Omit	Sample.Name	Target.Name	LogCopiesmLmilk	Sample	Wash	PMA	ConcentrationCAT	Conc.Target	Replicate	Bio	Regression	Reporter	Quencher	CT	Ct.Mean	Ct.SD	RegressionF	CalcCopyN	.InputSampleVolume(uL).	ElutionVolume(uL)	MilkEquiv(MuLuL)	BacktransfCopyN	CopiesuLDNA	CopiesmLmilk	caclLogCopiesmLmilk
BovineFull	5	A5	FALSE	12-0uM-2.B1	BovineUXT	4.751982212	12	Yes	0	0uM	0uM_Bovine	2	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	31.21511269	31.1796875	0.050100129	2.655072199	2.655072199	400	100	4	451.9310689	225.9655344	56491.38361	4.751982212
BovineFull	6	A6	FALSE	12-0uM-2.B1	BovineUXT	4.772434686	12	Yes	0	0uM	0uM_Bovine	2	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	31.14426041	31.1796875	0.050100129	2.675524673	2.675524673	400	100	4	473.7232205	236.8616103	59215.40257	4.772434686
Total16Sfull	5	A5	FALSE	12-0uM-2.B1	Total16S	4.656318803	12	Yes	0	0uM	0uM_Total16S	2	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	31.14536667	31.14428329	0.001532122	2.55940879	2.55940879	400	100	4	362.5841292	181.2920646	45323.01615	4.656318803
Total16Sfull	6	A6	FALSE	12-0uM-2.B1	Total16S	4.656830172	12	Yes	0	0uM	0uM_Total16S	2	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	31.14319992	31.14428329	0.001532122	2.559920159	2.559920159	400	100	4	363.0113127	181.5056564	45376.41409	4.656830172
BovineFull	65	F5	FALSE	17-0uM-3.B1	BovineUXT	4.873136157	17	Yes	0	0uM	0uM_Bovine	3	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	30.79540634	30.64969826	0.206062347	2.776226144	2.776226144	400	100	4	597.3462538	298.6731269	74668.28172	4.873136157
BovineFull	66	F6	FALSE	17-0uM-3.B1	BovineUXT	4.957257398	17	Yes	0	0uM	0uM_Bovine	3	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	30.50399017	30.64969826	0.206062347	2.860347385	2.860347385	400	100	4	725.0156571	362.5078285	90626.95713	4.957257398
Total16Sfull	65	F5	FALSE	17-0uM-3.B1	Total16S	4.799803711	17	Yes	0	0uM	0uM_Total16S	3	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	30.53739929	30.55958557	0.031377487	2.702893698	2.702893698	400	100	4	504.5377869	252.2688934	63067.22336	4.799803711
Total16Sfull	66	F6	FALSE	17-0uM-3.B1	Total16S	4.789331001	17	Yes	0	0uM	0uM_Total16S	3	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	30.58177376	30.55958557	0.031377487	2.692420988	2.692420988	400	100	4	492.5167304	246.2583652	61564.5913	4.789331001
BovineFull	67	F7	FALSE	28-0uM-1.B2	BovineUXT	5.025121601	28	Yes	0	0uM	0uM_Bovine	1	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	30.26889229	30.25409508	0.020926416	2.928211588	2.928211588	400	100	4	847.6402835	423.8201417	105955.0354	5.025121601
BovineFull	68	F8	FALSE	28-0uM-1.B2	BovineUXT	5.033664433	28	Yes	0	0uM	0uM_Bovine	1	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	30.23929787	30.25409508	0.020926416	2.93675442	2.93675442	400	100	4	864.4789453	432.2394727	108059.8682	5.033664433
Total16Sfull	67	F7	FALSE	28-0uM-1.B2	Total16S	4.943459225	28	Yes	0	0uM	0uM_Total16S	1	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	29.92870903	30.31245232	0.542694986	2.846549212	2.846549212	400	100	4	702.3429245	351.1714623	87792.86556	4.943459225
Total16Sfull	68	F8	FALSE	28-0uM-1.B2	Total16S	4.762326578	28	Yes	0	0uM	0uM_Total16S	1	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	30.6961956	30.31245232	0.542694986	2.665416565	2.665416565	400	100	4	462.8247396	231.4123698	57853.09245	4.762326578
BovineFull	33	C9	FALSE	33-0uM-2.B2	BovineUXT	5.046681296	33	Yes	0	0uM	0uM_Bovine	2	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	30.19420433	30.1872921	0.009775371	2.949771283	2.949771283	400	100	4	890.7816931	445.3908465	111347.7116	5.046681296
BovineFull	34	C10	FALSE	33-0uM-2.B2	BovineUXT	5.050671915	33	Yes	0	0uM	0uM_Bovine	2	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	30.18037987	30.1872921	0.009775371	2.953761902	2.953761902	400	100	4	899.004576	449.502288	112375.572	5.050671915
Total16Sfull	33	C9	FALSE	33-0uM-2.B2	Total16S	4.694249236	33	Yes	0	0uM	0uM_Total16S	2	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	30.98464966	31.01688385	0.045586031	2.597339223	2.597339223	400	100	4	395.6755573	197.8377786	49459.44466	4.694249236
Total16Sfull	34	C10	FALSE	33-0uM-2.B2	Total16S	4.679034209	33	Yes	0	0uM	0uM_Total16S	2	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	31.04911804	31.01688385	0.045586031	2.582124196	2.582124196	400	100	4	382.0535115	191.0267557	47756.68893	4.679034209
BovineFull	93	H9	FALSE	38-0uM-3.B2	BovineUXT	5.077399374	38	Yes	0	0uM	0uM_Bovine	3	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	30.08778954	30.16857719	0.114251003	2.980489361	2.980489361	400	100	4	956.069274	478.034637	119508.6593	5.077399374
BovineFull	94	H10	FALSE	38-0uM-3.B2	BovineUXT	5.030758461	38	Yes	0	0uM	0uM_Bovine	3	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	30.24936485	30.16857719	0.114251003	2.933848448	2.933848448	400	100	4	858.713811	429.3569055	107339.2264	5.030758461
Total16Sfull	93	H9	FALSE	38-0uM-3.B2	Total16S	4.615786962	38	Yes	0	0uM	0uM_Total16S	3	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	31.31710625	31.69480896	0.53415364	2.518876949	2.518876949	400	100	4	330.2759487	165.1379744	41284.49359	4.615786962
Total16Sfull	94	H10	FALSE	38-0uM-3.B2	Total16S	4.437505107	38	Yes	0	0uM	0uM_Total16S	3	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	32.07251358	31.69480896	0.53415364	2.340595094	2.340595094	400	100	4	219.0761471	109.5380736	27384.51839	4.437505107
BovineFull	95	H11	FALSE	49-0uM-1.B3	BovineUXT	4.858608497	49	Yes	0	0uM	0uM_Bovine	1	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	30.84573364	30.76443481	0.114972554	2.761698484	2.761698484	400	100	4	577.6948346	288.8474173	72211.85432	4.858608497
BovineFull	96	H12	FALSE	49-0uM-1.B3	BovineUXT	4.905543972	49	Yes	0	0uM	0uM_Bovine	1	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	30.68313789	30.76443481	0.114972554	2.808633959	2.808633959	400	100	4	643.6265624	321.8132812	80453.32029	4.905543972
Total16Sfull	95	H11	FALSE	49-0uM-1.B3	Total16S	4.257099902	49	Yes	0	0uM	0uM_Total16S	1	B3	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	32.83691788	32.85498047	0.025547059	2.160189889	2.160189889	400	100	4	144.6071905	72.30359526	18075.89882	4.257099902
Total16Sfull	96	H12	FALSE	49-0uM-1.B3	Total16S	4.248573184	49	Yes	0	0uM	0uM_Total16S	1	B3	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	32.87304688	32.85498047	0.025547059	2.151663171	2.151663171	400	100	4	141.7957361	70.89786803	17724.46701	4.248573184
BovineHalf	51	E3	FALSE	54-0uM-2.B3	BovineUXT	4.782788934	54	Yes	0	0uM	0uM_Bovine	2	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	31.10839081	31.08933067	0.026955102	2.685878921	2.685878921	400	100	4	485.1532227	242.5766114	60644.15284	4.782788934
BovineHalf	52	E4	FALSE	54-0uM-2.B3	BovineUXT	4.793792868	54	Yes	0	0uM	0uM_Bovine	2	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	31.07027054	31.08933067	0.026955102	2.696882855	2.696882855	400	100	4	497.6028453	248.8014227	62200.35567	4.793792868
Total16Shalf	51	E3	FALSE	54-0uM-2.B3	Total16S	4.667999713	54	Yes	0	0uM	0uM_Total16S	2	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	31.09587288	30.95980453	0.192429692	2.5710897	2.5710897	400	100	4	372.4686285	186.2343143	46558.57857	4.667999713
Total16Shalf	52	E4	FALSE	54-0uM-2.B3	Total16S	4.732226033	54	Yes	0	0uM	0uM_Total16S	2	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	30.82373619	30.95980453	0.192429692	2.63531602	2.63531602	400	100	4	431.8331917	215.9165959	53979.14897	4.732226033
BovineHalf	17	B5	FALSE	59-0uM-3.B3	BovineUXT	4.832753711	59	Yes	0	0uM	0uM_Bovine	3	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	30.93530083	30.87825775	0.080669746	2.735843698	2.735843698	400	100	4	544.3067226	272.1533613	68038.34032	4.832753711
BovineHalf	18	B6	FALSE	59-0uM-3.B3	BovineUXT	4.86568568	59	Yes	0	0uM	0uM_Bovine	3	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	30.82121658	30.87825775	0.080669746	2.768775667	2.768775667	400	100	4	587.1859658	293.5929829	73398.24572	4.86568568
Total16Shalf	17	B5	FALSE	59-0uM-3.B3	Total16S	4.975289241	59	Yes	0	0uM	0uM_Total16S	3	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	29.79384041	30.05213547	0.365284383	2.878379228	2.878379228	400	100	4	755.7518662	377.8759331	94468.98328	4.975289241
Total16Shalf	18	B6	FALSE	59-0uM-3.B3	Total16S	4.853370059	59	Yes	0	0uM	0uM_Total16S	3	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	30.31043053	30.05213547	0.365284383	2.756460046	2.756460046	400	100	4	570.7685647	285.3842824	71346.07059	4.853370059
BovineFull	39	D3	FALSE	7-0uM-1.B1	BovineUXT	5.017473465	7	Yes	0	0uM	0uM_Bovine	1	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	30.29538727	30.3919487	0.136559829	2.920563452	2.920563452	400	100	4	832.843598	416.421799	104105.4498	5.017473465
BovineFull	40	D4	FALSE	7-0uM-1.B1	BovineUXT	4.961725372	7	Yes	0	0uM	0uM_Bovine	1	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	30.48851204	30.3919487	0.136559829	2.864815359	2.864815359	400	100	4	732.5130386	366.2565193	91564.12982	4.961725372
Total16Sfull	39	D3	FALSE	7-0uM-1.B1	Total16S	5.023159858	7	Yes	0	0uM	0uM_Total16S	1	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	29.59100533	29.72766495	0.193264544	2.926249845	2.926249845	400	100	4	843.8200583	421.9100292	105477.5073	5.023159858
Total16Sfull	40	D4	FALSE	7-0uM-1.B1	Total16S	4.958654895	7	Yes	0	0uM	0uM_Total16S	1	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	29.86432266	29.72766495	0.193264544	2.861744882	2.861744882	400	100	4	727.3524102	363.6762051	90919.05128	4.958654895
BovineFull	17	B5	FALSE	13-10uM-2.B1	BovineUXT	3.263161337	13	Yes	10	10uM	10uM_Bovine	2	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	36.37274551	36.72740173	0.501559615	1.166251324	1.166251324	400	100	4	14.66396191	7.331980955	1832.995239	3.263161337
BovineFull	18	B6	FALSE	13-10uM-2.B1	BovineUXT	3.058408653	13	Yes	10	10uM	10uM_Bovine	2	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	37.08205795	36.72740173	0.501559615	0.96149864	0.96149864	400	100	4	9.151633925	4.575816963	1143.954241	3.058408653
Total16Sfull	17	B5	FALSE	13-10uM-2.B1	Total16S	3.290860156	13	Yes	10	10uM	10uM_Total16S	2	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	36.93102264	36.56715393	0.514588058	1.193950143	1.193950143	400	100	4	15.62968204	7.814841019	1953.710255	3.290860156
Total16Sfull	18	B6	FALSE	13-10uM-2.B1	Total16S	3.462611703	13	Yes	10	10uM	10uM_Total16S	2	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	36.20328522	36.56715393	0.514588058	1.36570169	1.36570169	400	100	4	23.21141892	11.60570946	2901.427365	3.462611703
BovineFull	77	G5	FALSE	18-10uM-3.B1	BovineUXT	3.958011399	18	Yes	10	10uM	10uM_Bovine	3	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	33.96561813	34.11857224	0.216309771	1.861101386	1.861101386	400	100	4	72.62754871	36.31377435	9078.443588	3.958011399
BovineFull	78	G6	FALSE	18-10uM-3.B1	BovineUXT	3.869706835	18	Yes	10	10uM	10uM_Bovine	3	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.27152634	34.11857224	0.216309771	1.772796822	1.772796822	400	100	4	59.26479987	29.63239994	7408.099984	3.869706835
Total16Sfull	77	G5	FALSE	18-10uM-3.B1	Total16S	4.399216357	18	Yes	10	10uM	10uM_Total16S	3	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	32.23474884	32.00788879	0.320825845	2.302306344	2.302306344	400	100	4	200.5886446	100.2943223	25073.58058	4.399216357
Total16Sfull	78	G6	FALSE	18-10uM-3.B1	Total16S	4.506296836	18	Yes	10	10uM	10uM_Total16S	3	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	31.78103256	32.00788879	0.320825845	2.409386823	2.409386823	400	100	4	256.6769223	128.3384612	32084.61529	4.506296836
BovineFull	79	G7	FALSE	29-10uM-1.B2	BovineUXT	4.362772952	29	Yes	10	10uM	10uM_Bovine	1	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	32.56342697	32.58937836	0.036698103	2.265862939	2.265862939	400	100	4	184.4433235	92.22166175	23055.41544	4.362772952
BovineFull	80	G8	FALSE	29-10uM-1.B2	BovineUXT	4.347791613	29	Yes	10	10uM	10uM_Bovine	1	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	32.61532593	32.58937836	0.036698103	2.2508816	2.2508816	400	100	4	178.1892909	89.09464544	22273.66136	4.347791613
